"NCT","final_decision"
"NCT02835963","Include"
"NCT02928120","Include"
"NCT02957084","Include"
"NCT03054324","Include"
"NCT03066310","Include"
"NCT03076749","Include"
"NCT03148769","Include"
"NCT03193528","Include"
"NCT03234725","Include"
"NCT03253367","Include"
"NCT03263949","Include"
"NCT03282903","Include"
"NCT03352648","Include"
"NCT03382223","Include"
"NCT03436524","Include"
"NCT03474003","Include"
"NCT03488043","Include"
"NCT03562936","Include"
"NCT03572465","Include"
"NCT03574025","Include"
"NCT03597425","Include"
"NCT03605810","Include"
"NCT03611387","Include"
"NCT03619200","Include"
"NCT03642483","Include"
"NCT03672279","Include"
"NCT03682783","Include"
"NCT03693378","Include"
"NCT03720522","Include"
"NCT03731936","Include"
"NCT03753724","Include"
"NCT03784209","Include"
"NCT03797755","Include"
"NCT03839095","Include"
"NCT03842150","Include"
"NCT03850457","Include"
"NCT03862378","Include"
"NCT03880110","Include"
"NCT03885570","Include"
"NCT03899350","Include"
"NCT03911323","Include"
"NCT03931083","Include"
"NCT03948048","Include"
"NCT03975309","Include"
"NCT03988764","Include"
"NCT03994341","Include"
"NCT04113174","Include"
"NCT04121988","Include"
"NCT04123509","Include"
"NCT04131530","Include"
"NCT04156360","Include"
"NCT04169581","Include"
"NCT04189497","Include"
"NCT04192175","Include"
"NCT04203264","Include"
"NCT04208971","Include"
"NCT04216901","Include"
"NCT04228614","Include"
"NCT04242108","Include"
"NCT04253496","Include"
"NCT04261309","Include"
"NCT04271657","Include"
"NCT04273477","Include"
"NCT04274322","Include"
"NCT04359355","Include"
"NCT04366765","Include"
"NCT04368481","Include"
"NCT04371289","Include"
"NCT04371562","Include"
"NCT04377685","Include"
"NCT04420156","Include"
"NCT04425941","Include"
"NCT04448353","Include"
"NCT04449406","Include"
"NCT04451252","Include"
"NCT04466059","Include"
"NCT04490005","Include"
"NCT04493710","Include"
"NCT04495192","Include"
"NCT04524637","Include"
"NCT04551287","Include"
"NCT04577105","Include"
"NCT04579237","Include"
"NCT04580017","Include"
"NCT04597580","Include"
"NCT04598997","Include"
"NCT04600804","Include"
