,sample_id,posneg,testcontrol,NCT_num,PMID,F03_pmid_aggmax,F01_authors_authtree,F16_titleabs_propoccurance,F13_titleabs_tsimunw_tms,F13_titleabs_tsimunw_scr,F13_titleabs_tsimw_tms,F13_titleabs_tsimw_scr,F24_mesh_meshsim,F31_authors_authtree,F30_abstract_occurance,FTA_ta_allcaps_mismatch,F25_mesh_meshsim,F33_grants_occurance,F29_grants_occurance,F15_titleabs_propoccurance,F02_titleabs_allcaps,F13_chemicals_reverseoccur,F27_abstract_occurance,F30_cn_occurance,F09_titleabs_occurance,F10_titleabs_occurance,F36_authors_authtree,startdate_lift,start_diff_lt5,start_diff_cast,authcomp,agginvint,prob,Trial Results,NCT Link,rank,keep
NCT03745053:17401309,0,0,0,NCT03745053,17401309,0.09689158751116735,0.0,-0.5,227,3855.69595,394,6850.06179,0.285332373297017,,-0.5,0,0.0,0,0.0,0.5,0,0.0,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.236849605005533,0.07949248836821615,no,no,954,0
NCT03745053:28258843,0,0,0,NCT03745053,28258843,0.09689158751116735,0.0,-0.5,152,2808.55828,282,5260.61346,0.285332373297017,,-0.5,1,1.0769230769230769,0,0.0,-0.5,0,0.5,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.236849605005533,0.0794489424755732,no,no,955,0
NCT03745053:19168247,0,0,0,NCT03745053,19168247,0.09689158751116735,0.0,-0.5,229,3818.66778,403,6833.52695,0.285332373297017,,-0.5,0,0.0,0,0.0,0.5,0,0.0,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.236849605005533,0.07920621157328409,no,no,956,0
NCT03745053:24570689,0,0,0,NCT03745053,24570689,0.14455864030802415,0.0,-0.5,159,2664.84271,284,4830.08021,0.285332373297017,,-0.5,1,0.506728134364736,0,0.0,0.5,0,0.123653040492693,-0.5,0.0,0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07913586497365743,no,no,957,0
NCT03745053:15940441,0,0,0,NCT03745053,15940441,0.09689158751116735,0.0,-0.5,224,3792.05722,398,6825.02208,0.285332373297017,,-0.5,0,0.0,0,0.0,0.5,0,0.0,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.236849605005533,0.07905932932900017,no,no,958,0
NCT03745053:20124586,0,0,0,NCT03745053,20124586,0.09689158751116735,0.0,-0.5,161,2961.36973,290,5397.90166,0.285332373297017,,-0.5,0,1.0666666666666667,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.236849605005533,0.07904180311158203,no,no,959,0
NCT03745053:10348121,0,0,0,NCT03745053,10348121,0.14455864030802415,0.0,-0.5,178,3117.45362,317,5678.19884,0.285332373297017,,-0.5,0,1.0909090909090908,0,0.0,-0.5,0,0.123653040492693,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07900030589811995,no,no,960,0
NCT03745053:24614628,0,0,0,NCT03745053,24614628,0.09689158751116735,0.0,-0.5,165,3055.37832,285,5415.47734,0.285332373297017,,-0.5,0,1.0588235294117647,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.236849605005533,0.07889151887315603,no,no,961,0
NCT03745053:17679960,0,0,0,NCT03745053,17679960,0.09689158751116735,0.0,-0.5,161,2547.2659,297,4774.59643,0.285332373297017,,-0.5,0,1.125,0,0.0,0.5,0,0.0,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07869514334621029,no,no,962,0
NCT03745053:20031656,0,0,0,NCT03745053,20031656,0.14455864030802415,0.0,-0.5,120,1641.85732,237,3253.3311,0.285332373297017,,-0.5,0,1.1666666666666667,0,0.0,0.5,0,0.123653040492693,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07863939747143078,no,no,963,0
NCT03745053:27866748,0,0,0,NCT03745053,27866748,0.09689158751116735,0.0,-0.5,231,3891.41681,405,6951.10228,0.285332373297017,,-0.5,1,1.0769230769230769,0,0.0,-0.5,0,0.5,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07855536481692971,no,no,964,0
